,관광명소,분류,분류2,도,시군구,읍면동,리,지번,상세주,위도,경도,월,화,수,목,금,토,일
15,제주 유리의성,박물관,실외,제주,제주시,한경면,저지리,3135-1,,33.3147208325547,126.273698213888,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00
16,국립제주박물관,박물관,실내,제주,제주시,건입동,,261,,33.5136343400054,126.548872767858,휴무,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00
17,금오름,오름,실외,제주,제주시,한림읍,금악리,산1-1,,33.3558279030609,126.305719885052,00:00 - 24:00,00:00 - 24:00,00:00 - 24:00,00:00 - 24:00,00:00 - 24:00,00:00 - 24:00,00:00 - 24:00
18,제주민속자연사박물관,박물관,실내,제주,제주시,일도이동,,996-1,,33.5066609915682,126.531618098546,휴무,09:00 - 16:30,09:00 - 16:30,09:00 - 16:30,09:00 - 16:30,09:00 - 16:30,09:00 - 16:30
19,서귀포감귤박물관,박물관,실내,제주,서귀포시,신효동,,1200-6,,33.2716850436748,126.607671127379,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00
20,아프리카박물관,박물관,실내,제주,서귀포시,대포동,,1833,,33.2399195961182,126.429444398543,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00
21,섭지코지,자연명소,실외,제주,서귀포시,성산읍,고성리,,,33.4243393300538,126.93109884696,00:00 - 24:00,00:00 - 24:00,00:00 - 24:00,00:00 - 24:00,00:00 - 24:00,00:00 - 24:00,00:00 - 24:00
22,노형수퍼마켙,박물관,실내,제주,제주시,해안동,,2137-1,,33.4651188357536,126.455314398545,09:30 - 19:00,09:30 - 19:00,09:30 - 19:00,09:30 - 19:00,09:30 - 19:00,09:30 - 19:00,09:30 - 19:00
23,제주해녀박물관,박물관,실내,제주,제주시,구좌읍,하도리,3204-1,,33.5237664736025,126.863485998546,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00
24,그리스신화박물관,박물관,실내,제주,제주시,한림읍,금악리,산30-12,,33.3479191518595,126.356778612036,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00
25,바이나흐튼 크리스마스박물관,박물관,실내,제주,서귀포시,안덕면,서광리,456,,33.2918310512067,126.327788367855,10:30 - 20:00,10:30 - 20:00,10:30 - 20:00,10:30 - 20:00,10:30 - 20:00,10:30 - 20:00,10:30 - 20:00
26,한담해안산책로,산책로,실외,제주,제주시,애월읍,곽지리,1359,,33.4592748009816,126.31058876971,00:00 - 24:00,00:00 - 24:00,00:00 - 24:00,00:00 - 24:00,00:00 - 24:00,00:00 - 24:00,00:00 - 24:00
