,날짜,국가,시군구,읍면동,방문자수
345,20190819,홍콩,서귀포시,정방동,60
346,20190819,기타,서귀포시,정방동,445
347,20190819,미국,서귀포시,송산동,59
348,20190819,베트남,서귀포시,성산읍,36
349,20190819,미국,서귀포시,성산읍,187
350,20190819,태국,서귀포시,성산읍,185
351,20190819,태국,제주시,도두동,424
352,20190819,말레이시아,제주시,도두동,106
353,20190819,일본,제주시,도두동,602
354,20190819,홍콩,제주시,도두동,114
355,20190819,기타,제주시,도두동,764
356,20190819,중국,제주시,도두동,17338
357,20190819,미국,제주시,이호동,5
358,20190819,태국,제주시,이호동,193
359,20190819,싱가포르,제주시,이호동,13
360,20190819,말레이시아,제주시,이호동,96
361,20190819,일본,제주시,이호동,59
362,20190819,홍콩,제주시,이호동,19
363,20190819,기타,제주시,이호동,201
364,20190819,중국,제주시,이호동,1729
365,20190819,미국,제주시,외도동,137
366,20190819,태국,제주시,외도동,730
367,20190819,일본,제주시,외도동,129
368,20190819,홍콩,제주시,외도동,11
369,20190819,기타,제주시,외도동,100
370,20190819,중국,제주시,외도동,885
371,20190819,미국,제주시,노형동,128
372,20190819,미국,제주시,도두동,130
373,20190819,베트남,제주시,도두동,138
374,20190819,중국,서귀포시,대정읍,946
375,20190819,기타,서귀포시,대정읍,182
376,20190819,싱가포르,서귀포시,성산읍,10
377,20190819,말레이시아,서귀포시,성산읍,188
378,20190819,일본,서귀포시,성산읍,435
379,20190819,인도네시아,서귀포시,성산읍,101
380,20190819,홍콩,서귀포시,성산읍,136
381,20190819,기타,서귀포시,성산읍,1087
382,20190819,중국,서귀포시,성산읍,9076
383,20190819,베트남,서귀포시,남원읍,150
384,20190819,미국,서귀포시,남원읍,52
385,20190819,태국,서귀포시,남원읍,233
386,20190819,인도네시아,서귀포시,천지동,30
387,20190819,싱가포르,서귀포시,남원읍,217
388,20190819,일본,서귀포시,남원읍,145
389,20190819,인도네시아,서귀포시,남원읍,10
390,20190819,홍콩,서귀포시,남원읍,12
391,20190819,기타,서귀포시,남원읍,1233
392,20190819,중국,서귀포시,남원읍,4329
393,20190819,베트남,서귀포시,대정읍,28
394,20190819,미국,서귀포시,대정읍,104
395,20190819,태국,서귀포시,대정읍,5
396,20190819,일본,서귀포시,대정읍,220
397,20190819,홍콩,서귀포시,대정읍,19
398,20190819,말레이시아,서귀포시,남원읍,45
399,20190819,일본,서귀포시,천지동,215
400,20190819,말레이시아,서귀포시,천지동,48
401,20190819,인도네시아,서귀포시,대륜동,7
402,20190819,일본,서귀포시,대륜동,473
403,20190819,말레이시아,서귀포시,대륜동,144
404,20190819,싱가포르,서귀포시,대륜동,87
405,20190819,태국,서귀포시,대륜동,30
406,20190819,미국,서귀포시,대륜동,197
407,20190819,중국,서귀포시,대천동,494
408,20190819,기타,서귀포시,대천동,438
409,20190819,홍콩,서귀포시,대천동,22
410,20190819,일본,서귀포시,대천동,5
411,20190819,말레이시아,서귀포시,대천동,17
412,20190819,싱가포르,서귀포시,대천동,3
413,20190819,미국,서귀포시,대천동,149
414,20190819,중국,서귀포시,중문동,12720
415,20190819,홍콩,서귀포시,대륜동,57
416,20190819,홍콩,서귀포시,중문동,30
417,20190819,말레이시아,서귀포시,중문동,51
418,20190819,싱가포르,서귀포시,중문동,46
419,20190819,태국,서귀포시,중문동,121
420,20190819,미국,서귀포시,중문동,182
421,20190819,베트남,서귀포시,중문동,44
422,20190819,중국,서귀포시,예래동,8257
423,20190819,기타,서귀포시,예래동,2008
424,20190819,홍콩,서귀포시,예래동,49
425,20190819,인도네시아,서귀포시,예래동,12
426,20190819,일본,서귀포시,예래동,1757
427,20190819,말레이시아,서귀포시,예래동,305
428,20190819,싱가포르,서귀포시,예래동,3
429,20190819,태국,서귀포시,예래동,18
430,20190819,미국,서귀포시,예래동,531
431,20190819,일본,서귀포시,중문동,11
432,20190819,기타,서귀포시,대륜동,404
433,20190819,기타,서귀포시,중문동,1451
434,20190819,베트남,서귀포시,서홍동,4
435,20190819,중국,서귀포시,대륜동,2500
436,20190819,싱가포르,서귀포시,천지동,33
437,20190819,태국,서귀포시,천지동,1
438,20190819,미국,서귀포시,천지동,14
439,20190819,중국,서귀포시,효돈동,342
440,20190819,기타,서귀포시,효돈동,53
441,20190819,홍콩,서귀포시,효돈동,1
442,20190819,인도네시아,서귀포시,효돈동,15
443,20190819,미국,서귀포시,효돈동,7
444,20190819,기타,서귀포시,영천동,618
445,20190819,홍콩,서귀포시,영천동,0
446,20190819,일본,서귀포시,영천동,118
447,20190819,싱가포르,서귀포시,영천동,84
448,20190819,태국,서귀포시,영천동,153
449,20190819,미국,서귀포시,영천동,5
450,20190819,중국,서귀포시,영천동,3654
451,20190819,태국,서귀포시,서홍동,277
452,20190819,베트남,서귀포시,영천동,20
453,20190819,싱가포르,서귀포시,서홍동,46
454,20190819,말레이시아,서귀포시,서홍동,48
455,20190819,홍콩,서귀포시,서홍동,14
456,20190819,기타,서귀포시,서홍동,816
457,20190819,미국,서귀포시,동홍동,2
458,20190819,태국,서귀포시,동홍동,75
459,20190819,중국,서귀포시,서홍동,3451
460,20190819,일본,서귀포시,동홍동,97
461,20190819,인도네시아,서귀포시,동홍동,15
462,20190819,홍콩,서귀포시,동홍동,23
463,20190819,기타,서귀포시,동홍동,373
464,20190819,중국,서귀포시,동홍동,2653
465,20190819,싱가포르,서귀포시,동홍동,13
466,20190820,중국,제주시,구좌읍,3517
467,20190820,말레이시아,제주시,구좌읍,34
468,20190820,기타,제주시,구좌읍,381
469,20190820,홍콩,제주시,구좌읍,88
470,20190820,인도네시아,제주시,구좌읍,25
471,20190820,일본,제주시,구좌읍,274
472,20190820,태국,제주시,구좌읍,34
473,20190820,말레이시아,제주시,조천읍,75
474,20190820,중국,제주시,조천읍,8351
475,20190820,기타,제주시,조천읍,1321
476,20190820,홍콩,제주시,조천읍,39
477,20190820,인도네시아,제주시,조천읍,5
478,20190820,일본,제주시,조천읍,715
479,20190820,베트남,제주시,애월읍,135
480,20190820,미국,제주시,구좌읍,137
481,20190820,미국,제주시,애월읍,154
482,20190820,중국,제주시,한림읍,3898
483,20190820,싱가포르,제주시,애월읍,79
484,20190820,태국,제주시,조천읍,44
485,20190820,기타,제주시,한림읍,983
486,20190820,홍콩,제주시,한림읍,16
487,20190820,일본,제주시,한림읍,129
488,20190820,말레이시아,제주시,한림읍,305
489,20190820,태국,제주시,한림읍,114
490,20190820,태국,제주시,애월읍,384
491,20190820,미국,제주시,한림읍,19
492,20190820,중국,제주시,애월읍,16681
493,20190820,기타,제주시,애월읍,2534
494,20190820,홍콩,제주시,애월읍,158
495,20190820,인도네시아,제주시,애월읍,562
496,20190820,일본,제주시,애월읍,527
497,20190820,말레이시아,제주시,애월읍,346
498,20190820,베트남,제주시,한림읍,198
499,20190820,미국,제주시,조천읍,135
500,20190820,중국,제주시,한경면,832
501,20190820,인도네시아,제주시,용담1동,30
502,20190820,홍콩,제주시,용담1동,2
503,20190820,기타,제주시,용담1동,108
504,20190820,중국,제주시,용담1동,862
505,20190820,미국,제주시,삼도2동,52
506,20190820,태국,제주시,삼도2동,57
507,20190820,싱가포르,제주시,삼도2동,77
508,20190820,말레이시아,제주시,삼도2동,168
509,20190820,일본,제주시,삼도2동,1349
510,20190820,인도네시아,제주시,삼도2동,252
511,20190820,홍콩,제주시,삼도2동,82
512,20190820,기타,제주시,삼도2동,1101
513,20190820,중국,제주시,삼도2동,4927
514,20190820,미국,제주시,삼도1동,31
515,20190820,싱가포르,제주시,삼도1동,18
516,20190820,말레이시아,제주시,삼도1동,339
517,20190820,일본,제주시,삼도1동,129
518,20190820,홍콩,제주시,삼도1동,14
519,20190820,기타,제주시,삼도1동,170
520,20190820,중국,제주시,삼도1동,2412
521,20190820,미국,제주시,이도2동,90
522,20190820,일본,제주시,용담1동,54
523,20190820,태국,제주시,이도2동,2
524,20190820,싱가포르,제주시,용담1동,8
525,20190820,미국,제주시,용담1동,36
526,20190820,기타,제주시,화북동,134
527,20190820,중국,제주시,화북동,368
528,20190820,미국,제주시,건입동,26
529,20190820,태국,제주시,건입동,75
530,20190820,싱가포르,제주시,건입동,115
531,20190820,말레이시아,제주시,건입동,96
532,20190820,일본,제주시,건입동,602
533,20190820,인도네시아,제주시,건입동,5
534,20190820,홍콩,제주시,건입동,152
535,20190820,기타,제주시,건입동,763
536,20190820,중국,제주시,건입동,5376
537,20190820,베트남,제주시,용담2동,142
538,20190820,미국,제주시,용담2동,519
539,20190820,태국,제주시,용담2동,914
540,20190820,싱가포르,제주시,용담2동,207
541,20190820,말레이시아,제주시,용담2동,1668
542,20190820,일본,제주시,용담2동,3268
543,20190820,인도네시아,제주시,용담2동,307
544,20190820,홍콩,제주시,용담2동,258
545,20190820,기타,제주시,용담2동,2698
546,20190820,중국,제주시,용담2동,35274
547,20190820,태국,제주시,용담1동,1
548,20190820,싱가포르,제주시,이도2동,5
549,20190820,말레이시아,제주시,이도2동,182
550,20190820,일본,제주시,이도2동,140
551,20190820,중국,제주시,일도1동,697
552,20190820,미국,제주시,우도면,2
553,20190820,태국,제주시,우도면,111
554,20190820,말레이시아,제주시,우도면,38
555,20190820,일본,제주시,우도면,403
556,20190820,인도네시아,제주시,우도면,101
557,20190820,홍콩,제주시,우도면,35
558,20190820,기타,제주시,우도면,266
559,20190820,중국,제주시,우도면,3548
560,20190820,미국,제주시,추자면,5
561,20190820,태국,제주시,추자면,104
562,20190820,말레이시아,제주시,추자면,89
563,20190820,인도네시아,제주시,추자면,7
